text,aggressive,hate,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other
@user estou fechado com a retranca do meu mano @user #aupaatleti,0,0,0,0,0,0,0,0,0,0,0,0,0
"eu entendo o seu tudo. sua coragem, seu desespero; sua gentileza, sua dor; seu ressentimento, seu ódio; sua intel… — ?? link",0,0,0,0,0,0,0,0,0,0,0,0,0
@user @user @user o proprio tweet diz que os ingressos foram esgotados mas o cabaçao fala q o flamengo nao esgotou a norte,1,1,0,0,0,0,0,0,0,0,1,0,0
@user ela ficou mais feliz por receber o prêmio da engfa do q o próprio kkkkkkkkk,0,0,0,0,0,0,0,0,0,0,0,0,0
8 pica em uma semana,0,0,0,0,0,0,0,0,0,0,0,0,0
cultuar afrodite é uma benção.,0,0,0,0,0,0,0,0,0,0,0,0,0
o tanto que eu odeio essa maria ramos não tá escrito.,0,0,0,0,0,0,0,0,0,0,0,0,0
@user dw preferência terror,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user ele tem 15 audi, vender uma ele nem vai perceber",0,0,0,0,0,0,0,0,0,0,0,0,0
bglh e caso sério fiih ??????,0,0,0,0,0,0,0,0,0,0,0,0,0
"tem ingressos com visão obstruída em londres custando 200 libras ??. só a nível de comparação o gold circle da gaga (única mulher que fez show lá até agora), que ficava pertinho do palco, era 166 libras link",0,0,0,0,0,0,0,0,0,0,0,0,0
ooo minha gentekkkkkkkkkkkkkkj link,0,0,0,0,0,0,0,0,0,0,0,0,0
eu acho que quem votou no bolsonaro deveria pagar o preço que ele deixou no governo dele e quem votou no lula deveria pagar os preços atuais link,1,1,0,0,0,0,0,1,0,0,0,0,0
hoje mesmo vou limpar meus tweets,0,0,0,0,0,0,0,0,0,0,0,0,0
"as notificações dizendo que sou foco pessoal, amei",0,0,0,0,0,0,0,0,0,0,0,0,0
imagino como deve ser triste ser o will smith de uma relação,0,0,0,0,0,0,0,0,0,0,0,0,0
não consegui comprar a porra do ingresso de volta,0,0,0,0,0,0,0,0,0,0,0,0,0
pós banho neném link,0,0,0,0,0,0,0,0,0,0,0,0,0
"@user @user nao é hipocrisia um milionário que ficou milionário, questionar o acúmulo de bilionários. sabe quanto vai de 70 milhões pra 1 bilhao? com jeff beezos ja indo pra 120 bilhoes de dolares?? elon musk nem se fala? tu ate agr nao entendeu o público alvo e a culpa eh minha?",0,0,0,0,0,0,0,0,0,0,0,0,0
@user eu tb,0,0,0,0,0,0,0,0,0,0,0,0,0
o crime de ódio vem e tá chegando a foguete,0,0,0,0,0,0,0,0,0,0,0,0,0
— 2: #leesoohyuk acho que nem tem muito o que eu possa dizer sobre esse lee soohyuk... só sentir só que deus me odeia pois se me amasse me deixaria dar uma m* neste homem link,0,0,0,0,0,0,0,0,0,0,0,0,0
a viagem desse onibus é longa pra porra kkkkkkkkkkk dei um cochilo e n ta nem na metadd do caminho,0,0,0,0,0,0,0,0,0,0,0,0,0
hoje eu acordei pra ódio com essa situação,0,0,0,0,0,0,0,0,0,0,0,0,0
