id,text,aggressive,hate,ageism,aporophobia,body_shame,capacitism,lgbtphobia,political,racism,religious_intolerance,misogyny,xenophobia,other
1658486236930279936,"@user @user @user quanto vc pagava na época da, como vc diz, ""canetada eleitoreira"" do mito? quanto vai pagar agora com a política do nove dedos?",1,1,0,0,0,1,0,1,0,0,0,0,0
1658486237773329920,@user os árabes já vão lhes chutar do país ??,1,1,0,0,0,0,0,0,0,0,0,1,0
1658489605853939968,@user @user @user @user @user tem que desenhar e explicar o desenho pro retardado pq a pica do bolsonaro na frente dele não deixa ele ver,1,1,0,0,0,1,0,0,0,0,0,0,0
1658490127163739904,"@user @user chola mais gado. e se não quiser pagar mais barato na gasolina, pode fingir que tá no governo bolsonaro e pagar 10 pila no litro ???? otária",1,1,0,0,0,0,0,1,0,0,0,0,0
1658490187939450112,michele micheque nao tinha cartao do bolsonaro pq bolsonaro era pão duro! mas bolsonaro pagava os gastos da micheque no cartao da amiga! é isso mesmo? eles acham mesmo que todo mundo é burro como os seguidores deles?,1,1,0,0,0,1,0,0,0,0,0,0,0
1658483946026579968,passaram mais de 4 anos sofrendo as idiotice de bolsonaro é agora tudo que acontece é culpa do lula kkkkkkkkkkkkkkk vai se fuder seus debi loides,1,1,0,0,0,1,0,0,0,0,0,0,0
1658484424315670016,"com os gastos(pagos por nós)comprovados, do atual casal presidencial, em apenas 136 dias, é natural perceber o espanto, o interesse, da mídia e esquerdofrênicos com as contas do pr bolsonaro em 4 anos no governo. realmente espanta a diferença entre alhos e...bugalhos. gritante?? link",1,1,0,0,0,0,0,1,0,0,0,0,0
1658485584636280064,@user porra q odio kkkkk sua cachorra ????????,1,1,0,0,0,0,0,0,0,0,1,0,0
1658490123728699904,"@user a contradição canhota em todas as áreas. até em atacar e defender ditadores seletivamente. nunca foi sobre ""o que"" , mas sobre ""quem"". egoísmo, inveja, ódio e maldade é tudo que tem em um ser contraditório desses.",1,1,0,0,0,0,0,1,0,0,0,0,0
1658486161990640128,@user esse homem é doente,1,1,0,0,0,1,0,0,0,0,0,0,0
1658485409448610048,"@user nem 5 meses de separação fraudad@ pelo kbçade0vo/t$e, o pov0 já quer, volta governo bolsonaro .@user !! . ( grande dia, dólar, r$ 300, petrobras, ronaldo, whatsapp, michele, justin bieber, ceará )",1,1,0,0,1,0,0,0,0,0,0,0,0
1658485465580989952,descobriram agora que o cabeça de ovo monitorava o presidente bolsonaro e família desde há muito tempo.... sabe o que vai acontecer com ele?? nada! porque ele aproveitou e monitorou também todos os senadores e deputados e ministros... e conhece os detalhes sórdidos de todos...,1,1,0,0,1,0,0,0,0,0,0,0,0
1658485706107520000,"@user @user são uns loucos, procuram de toda forma prejudicar a família bolsonaro. são diabólicos, invejosos e cruéis.",1,1,0,0,0,1,0,0,0,0,0,0,0
1658485845601690112,"eu creio que devemos desejar fazer o mesmo e muito pior com os esquerdalóides, reciprocidade absoluta, total e sem misericórdia mínima. link",1,1,0,0,0,1,0,1,0,0,0,0,0
1658485845069009920,"um novo flaxflu na história, primeira vez que o clássico acontece em uma copa do brasil, então temos que sair vencedores para ficar nas estatísticas, e também só jogar cal na situação dos mulambos vitória fluminense ???? #diadeflu #flaxflu #fluminense #fluminensefc #flu #ffc link",1,1,0,1,0,0,0,0,0,0,0,0,0
1658485845253580032,"ou você é bonita ou você dirige bem, não dá pra ter tudo na vida né!!",1,1,0,0,0,0,0,0,0,0,1,0,0
1658485012675840000,"lei de acesso à informação foi ""estuprada"" pelo governo bolsonaro, diz lula link presidente aproveitou o ensejo de comemoração dos 11 anos da lei de acesso à informação para criticar a prática de sigilo do governo anterior",1,1,0,0,0,0,0,0,0,0,1,0,0
1658490547537949952,"@user prefiro mamar no seu seios seios maravilhosos e depois você mame bastante meu pau antes de eu lhe comer, bem gostoso e com força ????",1,1,0,0,0,0,0,0,0,0,1,0,0
1658490549454889984,@user @user falsidade sem igual. fala mau enquanto não consegue uma boquinha ou uma teta pra mamar,1,1,0,0,0,0,0,0,0,0,1,0,0
1658490523169039872,@user aposta todo al negro amigo,1,1,0,0,0,0,0,0,1,0,0,0,0
1658486235604859904,@user suicid4te pelotudo,1,1,0,0,0,0,0,0,0,0,0,0,1
1658486237836229888,essa desgraçada milica nojenta tomara que queime no inferno vagabunda desgraçada,1,1,0,0,0,0,0,1,0,0,1,0,0
1658489654864140032,"@user bolsonaro foi eleito com 99%, e o stf do cabeça de piroca colocou o pt "" o pinguço de nove dedos "" isso sim foi golpe. esse moraes tem que ser preso urgente por abuso de poder e espionagem não autorizada e fora outros delitos",1,1,0,0,1,1,0,0,0,0,0,0,0
1658489907180910080,@user bovídeo do lula é que nem bovídeo do bolsonaro: não pensa!,1,1,0,0,0,0,0,1,0,0,0,0,0
1658484104625779968,"@user @user 1- não confunda bolsonaro com eleitores de bolsonaro, se não vc vai poder mais contratar ngm que vota no pt pq o cara vai te roubar. 2- extrema direita continua sendo uma corrente legítima, assim como extrema esquerda. se não teremos que odiar tbm flávio dino que é comunista.",1,1,0,0,0,0,0,1,0,0,0,0,0
1658485622909319936,"@user ohh @user , triste desgraçado mental. és um nazista cheio de traumas, ódio raiva. nem mil psiquiatras te salvam. o povo está com bolsonaro. todo o mundo grita: luladrao teu lugar é na prisão. só cérebros de kaka de galinha não entendem isso. o povo está com bolsonaro",1,1,0,0,0,1,0,1,0,0,0,0,0
1658485920327429888,quem foi a jaguara q tirou essa foro eu vou te caçar sua puta nojent ai q ódio,1,1,0,0,0,0,0,0,0,0,1,0,0
1658484897475069952,"@user joice, afinal quem te cobriu de porrada!!!!vc já sabe? mas da vida do bolsonaro vc sabe!!!!",1,1,0,0,0,0,0,0,0,0,1,0,0
1658490547793799936,@user deixa de ser gay,1,1,0,0,0,0,1,0,0,0,0,0,0
1658480483976740096,o twitter foi sequestrado pela extrema direita muito antes do bilionário vadio comprar a plataforma. esse é um ambiente controlado pelos consórcios mentirosos de desinformação e ódio. esses extremistas escrotos estão em desespero pois o stf trabalha para enquadra-los.,1,1,0,0,0,0,0,1,0,0,0,0,0
1658485124680529920,@user ódio e vingança contra o povo brasileiro,1,1,0,0,0,0,0,0,0,0,0,1,0
1658489320523820032,"@user @user se eu soubesse que seria tão maravilhoso, teria apertado 13 também!!!!! melhor escola é a escola da dor, do ódio e da sensação de impotência. quem sabe o maldito pobre aprende que essa laia não ajuda ninguém além deles mesmo!!!!",1,1,0,1,0,0,0,0,0,0,0,0,0
1658489651638720000,se mata sua velha fudidaaaaaaaaaaa que ódio que ódio,1,1,1,0,0,0,0,0,0,0,0,0,0
1658486100556640000,"@user @user ô otário, vc acha que eu vou perder meu tempo ""argumentando"" com ignorante negacionista? agora me diga uma coisa. qdo eu disse que ignorantes, negacionistas e bolsonaristas em geral não são bem vindos, que parte vc não conseguiu entender, hein, mané? ??",1,1,0,0,0,0,0,1,0,0,0,0,0
